Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
22457,Skim Milk,43,7.35,1.44,3.47,8.22,0.16,7.58,0.24,107
22458,Oat Milk,53,2.36,2.99,9.28,9.0,0.85,3.14,0.06,123
22459,Cashew Milk,62,1.71,2.13,10.9,5.21,0.61,5.82,0.73,124
22460,Cashew Milk,58,0.75,2.93,8.88,6.0,0.53,2.21,0.56,107
22461,Oat Milk,59,2.97,4.22,3.1,6.11,0.19,7.95,0.87,115
22462,Cashew Milk,51,6.5,0.65,6.5,2.92,0.8,2.65,0.79,109
22463,Soy Milk,43,4.6,2.52,1.89,5.99,0.58,3.39,0.66,123
22464,Oat Milk,74,4.57,4.29,4.06,7.22,0.16,7.73,1.0,127
22465,2% Milk,64,2.54,4.86,3.95,3.0,0.46,1.98,0.67,99
22466,Whole Milk,46,5.46,2.95,3.3,6.57,0.36,2.37,0.98,85
22467,Coconut Milk,46,6.99,0.5,2.3,2.93,0.02,1.5,0.9,83
22468,Oat Milk,53,5.7,3.98,7.25,0.73,0.51,1.55,0.66,129
22469,2% Milk,53,5.55,4.33,7.17,3.31,0.42,1.15,0.43,81
22470,Soy Milk,50,4.49,4.12,3.63,6.46,0.41,4.6,0.74,121
22471,Almond Milk,70,4.13,1.89,9.13,8.95,0.51,7.24,0.62,81
22472,Cashew Milk,58,7.76,4.72,9.64,6.5,0.97,7.89,0.92,90
22473,Cashew Milk,67,3.98,0.77,11.72,8.7,0.33,4.7,0.14,82
22474,Coconut Milk,48,2.14,2.41,1.72,7.25,0.23,4.74,0.85,102
22475,2% Milk,78,3.25,2.55,2.18,9.9,0.39,1.81,0.62,120
22476,Almond Milk,80,3.54,3.96,8.18,2.31,0.35,4.45,0.43,132
22477,2% Milk,40,6.62,4.59,1.17,1.38,0.39,6.24,0.08,121
22478,Cashew Milk,73,3.67,4.6,3.34,6.01,0.62,3.77,0.85,127
22479,Oat Milk,55,3.56,4.49,11.72,1.06,0.54,3.95,0.83,93
22480,2% Milk,74,0.8,1.4,5.96,2.67,0.37,5.23,0.81,102
22481,Soy Milk,63,6.74,3.27,11.52,3.51,0.55,1.39,0.95,87
22482,Coconut Milk,59,6.83,1.54,9.03,3.13,0.27,6.8,0.51,132
22483,Whole Milk,45,4.68,3.15,4.87,2.85,0.09,4.64,0.35,138
22484,Skim Milk,79,0.84,4.88,2.57,6.24,0.09,3.03,0.72,105
22485,Skim Milk,62,4.77,4.91,8.63,7.53,0.86,2.4,1.0,101
22486,Soy Milk,51,6.7,2.74,6.68,0.78,0.92,6.31,0.35,100
22487,Cashew Milk,54,1.82,2.25,11.2,1.4,0.79,6.47,0.8,107
22488,Almond Milk,44,1.65,4.09,4.99,2.61,0.7,6.91,0.77,131
22489,Whole Milk,52,6.88,3.74,9.9,6.78,0.86,3.94,0.91,125
22490,Coconut Milk,50,6.14,1.91,9.99,9.07,0.6,3.57,0.45,100
22491,Skim Milk,69,4.17,0.26,1.6,6.47,0.02,3.64,0.11,120
22492,Soy Milk,54,7.23,0.43,6.82,6.43,0.38,1.57,0.46,138
22493,Almond Milk,78,5.92,1.3,11.5,7.24,0.56,1.47,0.87,100
22494,Almond Milk,58,5.18,1.17,11.49,2.59,0.18,3.44,0.85,112
22495,Cashew Milk,54,3.05,3.62,5.53,7.38,0.44,5.04,0.55,88
22496,Almond Milk,52,7.75,4.42,3.53,1.48,0.75,6.09,0.01,114
22497,Whole Milk,47,2.15,2.1,2.44,3.23,0.53,1.12,0.88,104
22498,Skim Milk,65,2.08,0.76,6.88,7.36,0.55,6.29,0.56,128
22499,Cashew Milk,67,2.5,1.48,8.84,4.61,0.69,7.71,0.05,90
22500,2% Milk,70,1.4,1.13,6.24,9.69,0.54,1.26,0.94,110
22501,Soy Milk,40,5.91,2.08,11.4,0.86,0.58,2.46,0.63,97
22502,Oat Milk,57,5.05,3.8,6.57,3.45,0.2,2.74,0.02,115
22503,Almond Milk,53,5.2,4.32,5.84,4.7,0.34,1.61,0.33,145
22504,Coconut Milk,44,2.79,2.42,7.77,3.31,0.33,5.65,0.07,126
22505,Oat Milk,56,4.96,2.83,9.11,2.01,0.1,7.04,0.49,147
22506,Whole Milk,60,7.55,0.52,9.61,2.31,0.12,4.65,0.3,126
22507,2% Milk,53,6.45,0.25,7.65,5.21,0.26,1.68,0.01,89
22508,Cashew Milk,75,3.89,0.26,4.86,8.46,0.99,2.1,0.03,122
22509,Oat Milk,78,5.34,1.46,10.84,1.96,0.07,7.05,0.12,123
22510,Oat Milk,72,4.52,1.77,7.85,3.01,0.74,3.57,0.99,132
22511,Coconut Milk,69,4.84,1.09,9.47,7.92,0.99,3.85,0.89,130
22512,Whole Milk,62,4.83,0.19,1.59,1.6,0.46,5.3,0.82,96
22513,Oat Milk,65,5.56,3.25,10.17,9.82,0.52,4.16,0.39,133
22514,Cashew Milk,77,4.02,4.2,3.63,1.8,0.59,4.47,0.47,84
22515,Soy Milk,54,3.43,0.75,3.32,6.26,0.24,3.28,0.95,86
22516,Almond Milk,70,1.97,2.0,11.55,4.96,0.27,7.29,0.06,148
22517,Cashew Milk,53,4.96,2.14,8.99,8.09,0.85,4.71,0.65,126
22518,Almond Milk,74,2.55,3.62,2.45,8.65,0.4,5.38,0.69,81
22519,Almond Milk,80,1.5,4.03,3.73,5.21,0.99,4.4,0.24,83
22520,Coconut Milk,79,1.13,1.86,9.99,4.62,0.26,2.71,0.03,95
22521,Oat Milk,80,7.67,4.31,7.82,4.19,0.75,4.31,0.99,89
22522,Oat Milk,42,3.34,0.71,8.86,5.99,0.15,4.44,0.35,147
22523,Cashew Milk,63,3.56,4.0,8.12,4.67,0.2,7.27,0.02,123
22524,Cashew Milk,52,5.86,0.23,5.76,3.49,0.07,5.66,0.19,133
22525,Almond Milk,48,7.7,4.36,3.58,2.69,0.47,5.04,0.13,123
22526,Cashew Milk,56,6.2,3.32,10.3,0.88,0.19,4.96,0.09,130
22527,Soy Milk,62,3.77,1.89,11.17,7.93,0.18,1.23,0.38,124
22528,Soy Milk,75,4.28,2.68,2.84,4.76,0.79,5.11,0.11,86
22529,Coconut Milk,74,4.7,0.76,11.38,1.97,0.87,5.21,0.48,123
22530,Skim Milk,47,3.05,2.78,8.07,6.18,0.37,1.85,0.01,89
22531,Skim Milk,75,0.96,4.6,8.01,8.79,0.09,4.07,0.14,80
22532,Almond Milk,70,6.17,3.4,7.47,1.34,0.29,5.97,0.23,120
22533,Whole Milk,58,5.24,1.44,1.75,2.61,0.43,6.8,0.87,87
22534,Oat Milk,42,3.08,4.48,10.4,9.82,0.81,1.78,0.54,82
22535,Almond Milk,42,4.98,2.19,3.21,5.94,0.96,2.53,0.36,94
22536,Coconut Milk,68,7.43,4.42,6.92,3.14,0.94,3.61,0.81,93
22537,Whole Milk,50,1.14,4.09,5.52,8.0,0.23,7.4,0.05,85
22538,Whole Milk,56,6.78,0.66,3.5,3.18,0.52,5.58,0.74,88
22539,Soy Milk,43,4.0,3.29,6.91,4.96,0.74,7.21,0.08,92
22540,Whole Milk,77,4.5,3.24,10.73,0.69,0.34,2.12,0.89,148
22541,Oat Milk,59,5.3,1.41,9.3,4.35,0.7,1.12,0.13,143
22542,Soy Milk,59,0.94,2.08,6.98,6.25,0.81,1.84,0.99,127
22543,Coconut Milk,66,6.64,3.33,8.36,2.22,0.71,5.17,0.66,94
22544,Oat Milk,40,6.96,2.25,4.47,4.35,0.07,6.56,0.34,129
22545,Oat Milk,53,3.91,4.62,1.24,9.27,0.36,1.45,0.9,150
22546,Cashew Milk,46,1.8,3.99,1.83,9.04,0.51,4.32,0.89,100
22547,Almond Milk,73,6.55,2.28,10.39,7.34,0.19,3.39,0.06,150
22548,Coconut Milk,61,3.71,4.59,2.15,9.01,0.27,2.86,0.75,128
22549,Cashew Milk,59,3.15,3.06,10.34,1.79,0.34,1.17,0.95,140
22550,2% Milk,74,4.81,4.53,7.74,4.21,0.75,1.31,0.58,123
22551,Cashew Milk,40,6.54,1.82,4.07,1.98,0.76,5.96,0.89,148
22552,2% Milk,74,3.05,1.5,5.72,8.78,0.27,7.2,0.66,144
22553,Oat Milk,63,5.13,1.21,6.41,5.03,0.1,2.28,0.31,144
22554,Coconut Milk,74,7.67,3.18,9.43,2.76,0.89,5.27,0.42,108
22555,Almond Milk,43,4.88,1.23,5.64,4.0,0.67,6.91,0.28,115
22556,Coconut Milk,44,5.32,4.51,11.16,2.21,0.98,5.19,0.84,84
22557,2% Milk,58,1.57,0.61,5.29,3.82,0.95,6.58,0.81,94
22558,2% Milk,56,4.93,1.3,3.98,3.93,0.54,7.75,0.18,114
22559,Whole Milk,47,2.89,4.35,9.64,8.37,0.06,5.64,0.09,117
22560,Coconut Milk,57,5.69,3.19,4.25,4.56,0.47,2.12,0.54,122
22561,Almond Milk,74,0.7,1.78,5.93,4.58,0.0,1.16,0.63,125
22562,Skim Milk,63,5.24,4.4,7.99,3.01,0.94,3.59,0.63,114
22563,Whole Milk,41,1.21,4.98,7.18,5.92,0.28,4.77,0.22,102
22564,Coconut Milk,44,7.71,1.02,1.76,6.61,0.88,6.73,0.32,117
22565,Whole Milk,63,4.97,3.78,11.44,3.98,0.19,6.29,0.61,102
22566,Coconut Milk,77,4.6,4.67,6.66,2.83,0.65,5.23,0.28,84
22567,Coconut Milk,43,4.39,2.09,4.99,0.98,0.83,2.75,0.14,81
22568,Coconut Milk,71,0.73,4.26,11.9,5.53,0.19,5.44,0.3,150
22569,Coconut Milk,71,2.53,4.54,2.49,2.39,0.09,4.81,0.49,133
22570,Cashew Milk,58,1.5,3.84,1.96,9.0,0.51,4.03,0.49,99
22571,Skim Milk,80,6.82,2.03,8.6,6.85,0.96,3.08,0.11,123
22572,Almond Milk,67,4.81,2.1,11.74,9.28,0.98,4.39,0.44,86
22573,Skim Milk,68,7.67,3.79,8.15,4.38,0.58,7.59,0.13,105
22574,Almond Milk,44,7.58,1.1,10.69,6.62,0.06,3.4,0.69,144
22575,2% Milk,65,1.34,3.8,3.18,1.59,0.15,2.16,0.56,114
22576,Coconut Milk,72,0.62,0.24,8.49,9.16,1.0,4.32,0.5,137
22577,2% Milk,52,4.45,2.38,11.01,1.36,0.47,5.43,0.72,110
22578,Skim Milk,55,6.13,1.73,4.38,4.81,0.11,2.95,0.73,150
22579,Oat Milk,69,5.98,1.45,4.14,4.79,0.07,6.29,0.45,140
22580,Skim Milk,78,1.14,2.8,11.76,9.56,0.98,7.61,0.38,118
22581,Whole Milk,49,5.1,0.24,6.5,8.82,0.16,1.48,0.97,102
22582,Whole Milk,80,3.49,0.89,1.39,7.07,0.26,2.35,0.18,141
22583,Coconut Milk,47,6.83,1.88,1.12,7.87,0.65,7.3,0.18,123
22584,Coconut Milk,61,5.38,4.49,6.66,5.19,0.56,6.63,0.89,83
22585,Skim Milk,64,4.33,2.83,7.62,5.12,0.91,6.67,0.11,125
22586,Skim Milk,54,6.77,0.56,2.84,2.28,0.81,4.61,0.13,135
22587,Soy Milk,54,7.81,4.55,10.33,9.05,0.68,6.41,0.43,117
22588,Oat Milk,57,4.72,4.38,2.6,2.44,0.04,6.34,0.7,111
22589,Cashew Milk,71,5.53,0.82,3.48,7.06,0.68,2.96,0.18,83
22590,Oat Milk,74,5.35,2.12,10.37,8.99,0.6,7.96,0.99,108
22591,Cashew Milk,60,6.49,0.59,6.62,1.26,0.98,7.64,0.8,83
22592,Soy Milk,79,6.31,1.17,7.05,4.05,0.91,1.05,0.97,122
22593,Cashew Milk,48,4.5,2.95,3.68,0.89,0.46,3.67,0.99,117
22594,Oat Milk,42,6.51,0.36,2.11,6.02,0.09,3.81,0.86,89
22595,Coconut Milk,71,3.76,4.04,8.52,2.15,0.39,4.73,0.02,112
22596,Whole Milk,43,7.12,2.98,3.63,9.83,0.21,7.13,0.24,118
22597,2% Milk,66,4.13,3.66,4.65,9.86,0.67,4.54,0.68,82
22598,Almond Milk,77,6.0,3.1,9.45,1.49,0.93,6.45,0.79,150
22599,Oat Milk,70,0.95,3.58,7.37,7.05,0.56,7.49,0.11,123
22600,Almond Milk,69,0.99,3.32,2.86,9.1,0.96,6.96,0.47,124
22601,2% Milk,63,3.26,0.28,7.9,10.0,0.07,3.31,0.53,108
22602,Whole Milk,80,3.29,3.77,9.55,3.08,0.74,1.1,0.92,141
22603,Coconut Milk,51,2.73,3.21,4.29,5.01,0.27,5.01,0.35,87
22604,Skim Milk,58,5.73,3.8,11.66,4.16,0.67,3.39,0.75,112
22605,Cashew Milk,47,6.18,2.43,2.68,9.12,0.05,3.38,0.99,126
22606,2% Milk,71,6.56,4.13,2.39,3.48,0.79,3.71,0.11,90
22607,Whole Milk,56,6.91,3.25,10.65,9.56,0.35,2.42,0.27,94
22608,Oat Milk,55,2.02,2.9,10.66,2.77,0.75,2.78,0.69,142
22609,Almond Milk,47,4.28,1.4,9.19,3.12,0.58,2.58,0.17,114
22610,Cashew Milk,79,7.27,0.85,2.87,8.46,0.33,3.66,0.64,142
22611,Cashew Milk,49,3.3,1.19,7.45,5.27,0.4,6.73,0.33,133
22612,Skim Milk,55,2.47,0.72,8.8,8.7,0.03,5.97,0.49,129
22613,Coconut Milk,79,1.24,3.82,11.99,0.83,0.44,1.31,0.9,98
22614,Almond Milk,76,7.9,2.5,6.18,7.17,0.41,2.73,0.66,108
22615,Coconut Milk,69,6.3,2.53,9.45,2.75,0.36,3.5,0.37,101
22616,Whole Milk,43,5.44,3.69,10.74,4.07,0.41,6.28,0.51,142
22617,Coconut Milk,76,6.65,4.13,1.96,5.59,0.19,7.27,0.47,116
22618,Almond Milk,69,2.38,2.13,8.79,2.36,0.57,3.64,0.34,120
22619,Skim Milk,42,1.03,2.36,3.33,2.02,0.86,3.34,0.13,122
22620,Whole Milk,57,1.95,2.22,2.92,6.38,0.79,5.13,0.87,148
22621,Soy Milk,44,4.59,2.49,9.04,5.73,0.06,5.62,0.79,91
22622,Soy Milk,42,2.16,3.79,9.28,9.54,0.01,5.7,0.8,99
22623,Skim Milk,67,2.71,2.84,1.34,3.68,0.22,1.58,0.55,84
22624,Almond Milk,52,4.66,2.8,8.93,7.23,0.75,6.31,0.41,103
22625,Coconut Milk,68,6.19,0.54,8.89,1.44,0.38,2.4,0.18,127
22626,Soy Milk,41,6.94,1.65,8.04,6.02,0.15,1.75,0.46,116
22627,2% Milk,80,1.33,2.91,9.12,2.67,0.2,4.56,0.7,114
22628,Whole Milk,70,2.12,0.96,9.32,7.61,0.21,3.8,0.93,93
22629,Cashew Milk,48,2.8,1.43,8.8,4.65,0.37,3.75,0.46,145
22630,Coconut Milk,65,4.36,1.29,9.43,4.67,0.99,6.78,0.94,112
22631,Soy Milk,44,2.06,0.69,7.61,7.49,0.2,2.02,0.35,111
22632,Oat Milk,41,3.38,1.53,3.24,6.1,0.15,1.24,0.86,106
22633,Coconut Milk,56,3.57,4.72,11.68,0.51,0.41,7.49,0.2,147
22634,Oat Milk,59,2.8,1.5,9.87,3.12,0.32,7.21,0.06,126
22635,Cashew Milk,55,2.64,4.73,2.64,6.15,0.13,7.66,0.59,100
22636,2% Milk,60,7.91,1.04,10.63,0.79,0.29,7.71,0.95,93
22637,Oat Milk,74,2.41,2.59,2.65,6.75,0.59,5.8,0.06,110
22638,Skim Milk,44,2.53,1.61,10.87,9.93,0.69,1.45,0.16,82
22639,Skim Milk,49,0.89,1.01,7.77,6.83,0.62,3.12,0.95,138
22640,2% Milk,69,4.63,4.16,8.44,8.83,0.66,1.05,0.8,88
22641,Whole Milk,79,5.36,1.84,6.86,7.28,0.38,5.43,0.14,89
22642,Almond Milk,67,2.79,1.06,11.98,2.68,0.71,3.61,0.86,129
22643,Skim Milk,69,4.95,3.86,6.33,8.27,0.77,7.12,0.74,84
22644,2% Milk,48,7.91,4.49,5.88,3.96,0.82,7.07,0.05,98
22645,Cashew Milk,52,6.01,0.87,1.26,7.57,0.39,2.99,0.69,149
22646,Cashew Milk,73,4.82,2.95,11.45,1.11,0.29,5.25,0.74,137
22647,Cashew Milk,59,6.86,1.78,7.76,6.84,0.67,4.92,0.7,111
22648,2% Milk,63,7.52,3.58,8.94,7.04,0.71,3.13,0.63,111
22649,Whole Milk,60,2.98,2.93,3.77,7.27,0.22,5.03,0.6,109
22650,Oat Milk,76,5.82,1.95,1.68,4.33,0.07,1.35,0.07,130
22651,Oat Milk,76,5.35,1.34,6.04,4.18,0.8,7.73,0.25,125
22652,Oat Milk,64,3.57,2.21,5.34,0.53,0.13,1.66,0.46,124
22653,Skim Milk,78,6.39,4.62,7.59,3.4,0.96,4.19,0.49,107
22654,2% Milk,49,5.63,4.26,3.83,9.51,0.72,7.76,0.44,100
22655,Whole Milk,58,6.64,3.89,5.9,9.4,0.75,5.87,0.99,102
22656,Soy Milk,71,5.49,4.45,4.9,4.82,0.13,4.48,0.81,134
22657,Skim Milk,41,0.86,0.77,9.5,9.94,0.77,6.54,0.23,87
22658,Soy Milk,74,5.7,1.37,7.0,9.2,0.55,4.25,0.22,109
22659,Almond Milk,47,7.57,3.76,8.82,2.48,0.13,5.82,0.47,113
22660,Oat Milk,75,2.64,3.63,6.52,7.55,0.4,4.55,0.42,106
22661,Cashew Milk,80,7.07,4.61,11.49,3.71,0.34,3.65,0.1,146
22662,Soy Milk,78,1.36,0.96,2.06,9.15,0.85,3.2,0.96,138
22663,Coconut Milk,78,5.27,0.53,1.53,9.67,0.37,4.47,0.9,117
22664,Coconut Milk,80,0.93,0.75,8.83,9.77,0.03,5.54,0.08,140
22665,Coconut Milk,44,6.26,2.61,3.88,8.08,0.94,3.58,0.94,87
22666,Almond Milk,63,5.71,0.2,4.39,1.49,0.7,5.73,0.95,107
22667,Skim Milk,79,5.89,2.94,3.49,5.29,0.03,4.77,0.69,101
22668,Oat Milk,54,4.38,2.48,4.37,4.06,0.88,1.86,0.58,107
22669,Almond Milk,58,7.33,2.23,2.81,5.42,0.08,1.53,0.47,150
22670,Cashew Milk,58,4.77,3.37,2.91,6.9,0.53,7.57,0.26,101
22671,Almond Milk,67,0.69,0.25,11.56,8.13,0.1,4.08,0.82,89
22672,Cashew Milk,69,7.36,0.18,8.19,7.7,0.55,3.14,0.26,145
22673,2% Milk,80,1.35,3.66,7.33,4.16,0.42,4.76,0.53,120
22674,Cashew Milk,46,7.65,4.19,2.56,9.4,0.56,3.79,0.81,117
22675,2% Milk,40,7.25,3.74,4.21,3.86,0.83,2.56,0.97,146
22676,Coconut Milk,53,4.19,3.18,10.83,9.8,0.21,3.93,0.14,96
22677,Whole Milk,74,6.82,1.8,9.01,9.16,0.98,2.21,0.17,105
22678,Soy Milk,41,5.91,2.4,4.23,7.71,0.57,1.09,0.96,131
22679,Oat Milk,80,7.13,1.58,11.47,3.42,0.46,6.85,0.21,102
22680,Whole Milk,75,4.35,3.92,7.89,5.27,0.92,4.44,0.56,85
22681,2% Milk,59,1.16,1.82,1.85,8.87,0.32,5.37,0.58,83
22682,Almond Milk,69,1.22,1.28,5.59,6.5,0.26,1.25,0.97,108
22683,Skim Milk,61,3.95,1.55,8.49,4.12,0.93,3.22,0.6,95
22684,Soy Milk,60,2.9,3.31,6.08,6.6,0.77,3.63,0.54,150
22685,2% Milk,65,6.19,3.83,6.94,8.85,0.8,2.12,0.08,144
22686,Almond Milk,53,7.95,2.63,2.89,4.23,0.33,4.75,0.22,96
22687,Whole Milk,76,7.15,2.92,7.55,9.97,0.83,1.51,0.85,148
22688,Skim Milk,62,3.95,3.5,1.29,3.76,0.26,6.16,0.42,109
22689,Whole Milk,40,5.34,4.72,6.21,0.58,0.85,1.59,0.01,111
22690,Soy Milk,40,0.92,3.08,9.6,2.1,0.26,6.35,0.24,127
22691,Cashew Milk,79,7.59,4.99,6.31,7.63,0.47,7.0,0.92,121
22692,2% Milk,60,1.92,4.86,5.9,7.6,0.85,5.52,0.7,119
22693,Cashew Milk,46,6.48,2.67,5.11,2.04,0.61,5.31,0.2,92
22694,2% Milk,47,7.09,2.15,6.69,2.72,0.46,5.39,0.27,112
22695,Oat Milk,55,0.99,2.04,10.34,5.66,0.89,4.47,0.08,121
22696,Soy Milk,62,7.52,1.76,3.47,2.93,0.69,1.84,0.17,122
22697,Coconut Milk,63,4.64,3.2,5.98,9.24,0.54,2.02,0.96,103
22698,Skim Milk,57,4.41,2.01,9.24,4.1,0.3,5.54,0.57,150
22699,Oat Milk,51,6.0,4.83,2.43,6.88,0.41,6.11,0.77,135
22700,Almond Milk,40,5.14,0.95,3.65,1.4,0.14,5.53,0.33,81
22701,Soy Milk,64,0.81,1.96,8.27,8.0,0.64,6.2,0.25,93
22702,Soy Milk,55,7.18,4.71,8.74,2.53,0.95,2.1,0.64,117
22703,Cashew Milk,53,1.07,4.87,8.58,6.28,0.01,8.0,0.24,111
22704,Coconut Milk,51,2.26,3.21,3.07,7.92,0.0,7.79,0.31,129
22705,Almond Milk,41,0.69,0.69,7.65,8.77,0.3,1.26,0.63,139
22706,Soy Milk,46,4.69,3.34,10.97,3.76,0.88,4.19,0.42,127
22707,Soy Milk,61,0.94,1.64,2.08,5.67,0.31,3.03,0.87,132
22708,Soy Milk,41,2.69,4.92,2.74,3.28,0.6,5.47,0.58,146
22709,Almond Milk,54,7.36,2.83,4.44,4.43,0.58,6.75,0.68,115
22710,Cashew Milk,40,6.6,3.72,9.81,1.97,0.64,3.12,0.86,114
22711,Cashew Milk,52,0.57,4.57,5.08,2.56,0.98,6.38,0.58,125
22712,Oat Milk,76,4.87,4.95,11.16,9.15,0.85,1.04,0.86,99
22713,2% Milk,68,6.14,0.65,3.35,9.03,0.44,6.77,0.85,93
22714,Soy Milk,79,6.09,1.08,9.96,6.79,0.18,2.14,0.25,133
22715,Soy Milk,79,5.83,3.01,11.75,7.78,0.56,5.94,0.27,143
22716,Cashew Milk,65,3.24,1.29,10.62,0.89,0.65,4.03,0.12,82
22717,Soy Milk,42,4.79,3.44,2.94,2.05,0.58,7.4,0.04,114
22718,Coconut Milk,45,1.43,2.92,3.12,6.56,0.23,4.86,0.82,109
22719,Oat Milk,40,4.26,4.23,5.58,3.47,0.14,1.17,0.95,136
22720,Almond Milk,47,1.96,0.1,10.11,2.66,0.34,4.29,0.64,148
22721,2% Milk,48,3.53,2.48,1.99,2.78,0.24,3.19,0.92,82
22722,Cashew Milk,72,5.6,3.26,9.51,8.28,0.42,5.21,0.14,143
22723,Skim Milk,60,4.67,3.62,2.46,6.07,0.08,4.38,0.36,112
22724,Skim Milk,41,6.02,0.94,11.71,8.85,0.0,6.77,0.72,122
22725,Soy Milk,58,1.89,0.8,9.41,5.27,0.19,7.55,0.95,131
22726,Almond Milk,45,1.58,4.47,4.4,9.6,0.71,5.59,0.43,92
22727,Almond Milk,60,2.43,4.68,4.92,8.06,0.11,6.62,0.11,95
22728,Soy Milk,43,3.1,0.99,2.56,9.06,0.02,6.15,0.11,132
22729,Almond Milk,59,7.98,4.89,11.99,8.16,0.56,7.01,0.93,82
22730,Whole Milk,71,2.63,1.03,6.37,3.12,0.94,3.32,0.05,148
22731,Almond Milk,68,7.9,2.07,4.24,7.73,0.43,1.92,0.82,126
22732,Whole Milk,59,5.67,2.55,8.75,7.35,0.05,4.54,0.16,147
22733,Skim Milk,61,3.51,1.22,10.03,2.54,0.34,7.41,0.47,116
22734,Oat Milk,43,1.62,2.43,8.34,1.37,0.75,1.77,0.14,150
22735,Oat Milk,53,1.43,2.16,11.78,7.26,0.27,2.45,0.41,131
22736,Coconut Milk,46,4.5,4.53,2.3,2.47,0.35,6.81,0.88,111
22737,Soy Milk,66,2.43,3.86,9.31,5.97,0.11,6.69,0.38,100
22738,Coconut Milk,50,3.63,1.47,9.96,3.8,0.9,2.19,0.26,131
22739,Skim Milk,54,3.21,4.79,1.38,9.12,0.02,2.29,0.93,146
22740,Cashew Milk,69,5.81,4.07,1.51,6.79,0.75,3.99,0.64,81
22741,Almond Milk,78,5.57,3.66,6.08,5.58,0.29,3.56,0.58,89
22742,Whole Milk,68,7.74,1.81,6.83,6.32,0.36,5.0,0.95,90
22743,Coconut Milk,56,7.76,3.4,2.12,7.3,0.93,1.97,0.27,109
22744,Oat Milk,57,6.92,1.25,4.73,5.42,0.12,6.18,0.59,100
22745,Oat Milk,78,4.22,3.64,1.16,4.94,0.1,7.24,0.63,130
22746,Cashew Milk,49,7.73,1.66,1.59,3.42,0.87,5.49,1.0,141
22747,Cashew Milk,68,7.18,4.9,8.11,6.31,0.74,2.65,0.83,87
22748,Cashew Milk,42,5.87,4.93,8.15,8.65,0.01,5.98,0.09,104
22749,Soy Milk,80,5.53,3.23,10.74,5.17,0.57,1.63,0.33,117
22750,Cashew Milk,44,3.75,1.71,10.33,9.06,0.85,5.1,0.55,141
22751,Almond Milk,45,1.48,0.22,5.3,2.65,0.57,4.59,0.4,95
22752,Skim Milk,41,4.66,0.88,6.08,9.66,0.01,3.82,0.1,116
22753,Soy Milk,60,2.35,2.32,8.99,5.3,0.43,3.93,0.88,142
22754,Oat Milk,55,7.37,1.42,1.3,8.68,0.33,6.93,0.74,82
22755,Almond Milk,80,5.93,2.18,11.94,0.76,0.74,4.44,0.95,120
22756,Skim Milk,40,2.32,0.67,11.84,1.68,0.56,7.94,0.06,147
22757,2% Milk,74,6.31,1.49,9.96,5.99,0.15,4.84,0.5,92
22758,Almond Milk,50,1.13,2.05,9.33,7.71,0.06,6.19,0.8,87
22759,Soy Milk,61,4.64,4.77,8.8,0.66,0.11,3.88,0.44,82
22760,Skim Milk,48,7.48,2.64,8.72,7.44,0.74,6.19,0.45,82
22761,2% Milk,57,6.04,4.71,5.38,8.78,0.68,3.79,0.7,139
22762,Coconut Milk,49,1.96,1.13,8.25,1.63,0.99,4.78,0.45,127
22763,Coconut Milk,64,1.73,3.8,9.1,1.58,0.29,6.78,0.94,110
22764,Soy Milk,46,6.45,2.51,6.94,4.42,0.33,2.79,0.82,148
22765,Oat Milk,45,4.01,4.19,9.58,4.45,0.73,2.58,0.42,80
22766,Oat Milk,60,7.91,2.15,4.29,3.54,0.27,2.08,0.81,86
22767,Oat Milk,46,4.9,3.03,11.84,9.24,0.57,5.45,0.81,112
22768,2% Milk,53,1.0,4.61,3.01,7.14,0.64,4.89,0.31,121
22769,Oat Milk,50,1.97,3.68,7.86,1.87,0.42,2.84,0.91,113
22770,2% Milk,60,6.55,0.53,1.72,5.5,0.9,2.83,0.03,120
22771,Whole Milk,64,1.88,3.7,3.06,1.84,0.32,3.26,0.75,83
22772,Cashew Milk,59,2.11,2.33,2.78,9.07,0.23,6.81,0.67,128
22773,2% Milk,69,1.32,2.32,9.53,5.42,0.81,1.69,0.53,100
22774,Cashew Milk,43,1.87,3.29,11.64,2.72,0.64,7.69,0.91,93
22775,Whole Milk,45,3.1,1.83,6.53,5.99,0.11,6.2,0.21,99
22776,Soy Milk,72,1.06,2.73,2.74,7.98,0.42,6.76,0.99,84
22777,Oat Milk,44,1.74,4.64,2.43,4.4,0.89,1.18,0.93,95
22778,Whole Milk,57,7.41,1.01,5.25,8.3,0.32,4.63,0.95,104
22779,Whole Milk,53,4.76,1.54,11.6,7.63,0.88,2.68,0.17,106
22780,Skim Milk,40,0.92,4.67,7.58,9.53,0.32,5.65,0.36,102
22781,Almond Milk,56,0.7,1.15,10.14,9.04,0.17,2.37,0.12,109
22782,Skim Milk,71,3.19,2.76,5.51,9.36,0.91,2.48,0.71,123
22783,Whole Milk,77,6.07,3.01,7.21,7.01,0.04,1.32,0.11,84
22784,Almond Milk,80,3.16,4.2,2.53,6.56,0.97,1.4,0.15,128
22785,Skim Milk,80,0.64,1.96,4.58,7.4,0.27,3.74,0.48,116
22786,Cashew Milk,73,6.81,4.07,3.04,7.56,0.89,6.06,0.87,103
